number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
78,6.603494469557944,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 2, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0125,0.0265,0.002,0.001,47000
79,7.838738520935977,11,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.0265,0.002,0.001,41000
80,3.952714636275629,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 17, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0125,0.027,0.0015,0.009000000000000001,41000
81,6.671696309842126,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0265,0.0025,0.001,47000
82,7.501146116817152,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0255,0.0025,0.0015,45000
83,7.501146116817152,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0255,0.0025,0.0015,45000
84,7.501146116817152,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0255,0.0025,0.0015,45000
85,5.9563162545360235,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.010499999999999999,0.0255,0.003,0.0015,45000
86,5.2217862372353,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0115,0.024999999999999998,0.004,0.002,41000
87,5.809056708329578,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 8, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009000000000000001,0.0225,0.0025,0.008,45000
88,5.20296168252257,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 2, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.0275,0.0025,0.0055000000000000005,39000
89,6.423008433437065,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.024,0.0025,0.0015,42000
90,5.7167315435568185,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.0255,0.0035,0.002,44000
91,1.9605412935877748,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 122, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0125,0.0125,0.0015,0.0015,46000
92,4.131813264031089,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.010499999999999999,0.0275,0.0025,0.0015,49000
93,3.907964741591155,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0115,0.028,0.002,0.001,44000
94,6.17457008796889,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 8, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.024999999999999998,0.0015,0.0015,48000
95,6.297802082230815,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.014499999999999999,0.0265,0.003,0.0015,46000
96,6.8279524474141775,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.0245,0.0025,0.001,43000
97,7.322915050415002,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.0245,0.0025,0.001,42000
98,6.5641583935081735,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.008,0.023,0.0025,0.001,38000
99,4.328736607522742,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.0245,0.003,0.002,42000
