symbol,name,number,profit_rate,trade_count,failed_trades,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
159845,中证1000ETF,33,1.6778656999999946,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.0235,0.009500000000000001,0.0055000000000000005,0.0015,28000
159845,中证1000ETF,34,6.316056021158321,7,"{'无持仓': 8, '卖出价格超范围': 140, '现金不足': 11, '买入价格超范围': 0}",0.02,0.0175,0.001,0.0045000000000000005,14000
159845,中证1000ETF,35,0.6592194000000018,2,"{'无持仓': 186, '卖出价格超范围': 0, '现金不足': 22, '买入价格超范围': 0}",0.008,0.004,0.0015,0.001,30000
159845,中证1000ETF,36,2.2101034269917146,4,"{'无持仓': 201, '卖出价格超范围': 0, '现金不足': 12, '买入价格超范围': 0}",0.003,0.017,0.001,0.002,28000
159845,中证1000ETF,37,2.142425703163433,10,"{'无持仓': 188, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",0.007500000000000001,0.022,0.0015,0.0065,6000
159845,中证1000ETF,38,1.2053650025698153,6,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.012,0.006,0.0035,0.0015,12000
159845,中证1000ETF,39,9.966571608293554,10,"{'无持仓': 7, '卖出价格超范围': 197, '现金不足': 0, '买入价格超范围': 0}",0.021,0.024999999999999998,0.004,0.004,11000
159845,中证1000ETF,40,2.7270707982206512,6,"{'无持仓': 188, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",0.0055,0.0275,0.0015,0.0055000000000000005,15000
159845,中证1000ETF,41,4.046615035518669,4,"{'无持仓': 194, '卖出价格超范围': 0, '现金不足': 6, '买入价格超范围': 0}",0.0125,0.0225,0.0035,0.006,34000
159845,中证1000ETF,42,7.177263994669454,5,"{'无持仓': 9, '卖出价格超范围': 139, '现金不足': 26, '买入价格超范围': 0}",0.0205,0.005,0.0015,0.0015,27000
159845,中证1000ETF,43,2.4340463953449216,102,"{'无持仓': 177, '卖出价格超范围': 0, '现金不足': 6, '买入价格超范围': 0}",0.003,0.0055,0.001,0.0015,1000
159845,中证1000ETF,44,3.1686725939911264,12,"{'无持仓': 186, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",0.007,0.018,0.002,0.0035,10000
159845,中证1000ETF,45,1.7801354550000106,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.0225,0.009500000000000001,0.0025,0.002,28000
159845,中证1000ETF,46,3.8399083788005517,4,"{'无持仓': 177, '卖出价格超范围': 0, '现金不足': 6, '买入价格超范围': 0}",0.026,0.021,0.0045000000000000005,0.0015,16000
159845,中证1000ETF,47,1.3528530112499866,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.01,0.009500000000000001,0.003,0.0015,39000
