number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
0,2.1354822388818526,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013000000000000001,0.029,0.007500000000000001,0.0065,8000
1,-1.5041533507106764,17,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 27, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.0045000000000000005,0.009000000000000001,0.0065,36000
2,-0.020641462545713044,9,"{'无持仓': 178, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0035,0.0295,0.0085,0.003,10000
3,3.5173021288409863,31,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 17, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.008,0.011,0.0055000000000000005,0.005,15000
4,0.3094960807067133,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 130, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0195,0.006500000000000001,0.0035,0.004,23000
5,0.1932043019919306,23,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 121, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0245,0.008,0.0055000000000000005,0.0065,3000
6,-0.5793222200256126,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 150, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0195,0.007500000000000001,0.0015,0.01,49000
7,0.3110570683074095,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 115, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.024999999999999998,0.011,0.0015,0.007500000000000001,23000
8,4.009293467450898,34,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.0165,0.001,0.009500000000000001,13000
9,0.6214914196696962,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 113, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.021,0.0115,0.0055000000000000005,0.006,10000
10,3.757448374643525,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 13, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013000000000000001,0.022,0.0035,0.001,33000
11,3.7700864327855723,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 19, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013500000000000002,0.021,0.0035,0.0015,36000
12,1.9150967081214454,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 55, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013500000000000002,0.0195,0.003,0.01,42000
13,6.27741223274821,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007500000000000001,0.0235,0.001,0.001,31000
14,3.503224273224875,19,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0045000000000000005,0.0245,0.001,0.0085,18000
15,3.4679640536456384,15,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 27, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0085,0.016,0.002,0.0025,29000
16,1.0538112527989143,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 107, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.03,0.0175,0.0025,0.0085,16000
17,1.6769068830175569,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.0265,0.01,0.005,27000
18,4.352901934168055,16,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0055,0.015,0.0045000000000000005,0.0035,42000
19,3.828504207252946,11,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.010499999999999999,0.013500000000000002,0.004,0.002,43000
20,3.5106101270344245,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.016,0.0255,0.007,0.0035,48000
21,4.531063748467806,16,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.0155,0.0045000000000000005,0.004,43000
22,2.440745633968113,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 10, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.003,0.013999999999999999,0.0045000000000000005,0.004,42000
23,2.6595047398421787,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0055,0.0205,0.0065,0.001,38000
24,3.786935128979798,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.01,0.018,0.005,0.0045000000000000005,32000
25,3.410692269285922,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.0225,0.0065,0.0025,45000
